individual,area,max_width,max_length,analyst
s_001_010_001_001,13.331,3.343,5.214,aditi
s_001_010_001_002,18.689,4.124,6.576,aditi
s_001_010_001_003,21.507,4.129,7.057,aditi
s_001_010_001_004,39.861,6.114,9.743,aditi
s_001_010_001_005,12.442,3.686,5.4,aditi
s_001_010_001_006,7.806,2.933,3.762,aditi
s_001_010_001_007,18.846,3.343,7.99,aditi
s_001_010_001_008,7.456,3.01,3.552,aditi
s_001_010_001_009,6.047,3.29,3.333,aditi
s_001_010_001_010,5.465,2.467,3.39,aditi
s_001_010_001_011,4.62,2.362,3.39,aditi
s_001_010_001_012,4.602,2.343,3.09,aditi
s_001_011_001_001,35.38,6.171,9.143,aditi
s_001_011_001_002,32.481,6.352,8.248,aditi
s_001_011_001_003,13.1,2.905,6.448,aditi
s_001_011_001_004,21.375,5.086,6.095,aditi
s_001_011_001_005,12.118,3.714,5.605,aditi
s_001_011_001_006,16.61,3.733,7.876,aditi
s_001_011_001_007,7.989,1.981,5.524,aditi
s_001_011_001_008,14.556,2.733,7.157,aditi
s_001_011_001_009,9.615,2.543,5.248,aditi
s_001_011_001_010,10.998,4.067,4.552,aditi
s_001_011_001_011,12.103,3.276,5.89,aditi
s_001_011_001_012,7.133,2.476,4.857,aditi
s_001_011_001_013,4.753,1.914,3.467,aditi
s_001_011_001_014,5.49,2.124,4.095,aditi
s_001_011_001_015,5.764,2.79,3.514,aditi
s_001_011_001_016,3.761,1.914,3.371,aditi
s_001_011_001_017,5.296,2.419,4.448,aditi
s_001_011_001_018,4.062,1.733,3.619,aditi
s_001_011_001_019,5.34,1.657,4.457,aditi
s_001_011_001_020,2.351,0.924,3.967,aditi
s_001_020_001_001,56.077,7.467,10.838,aditi
s_001_020_001_002,24.274,5.238,7.867,aditi
s_001_020_001_003,11.577,3.686,5.481,aditi
s_001_020_001_004,25.976,5.019,7.676,aditi
s_001_020_001_005,20.841,4.676,6.476,aditi
s_001_020_001_006,20.9,4.21,7.562,aditi
s_001_020_001_007,26.384,5.505,6.838,aditi
s_001_020_001_008,7.917,2.914,4.4,aditi
s_001_020_001_009,17.793,4.781,5.2,aditi
s_001_020_001_010,8.21,3.029,4.514,aditi
s_001_020_001_011,10.23,3.962,4.562,aditi
s_001_020_001_012,6.279,2.419,4.4,aditi
s_001_020_002_013,5.407,2.471,3.352,aditi
s_001_020_002_014,3.8,1.729,3.676,aditi
s_001_021_001_001,34.113,6.857,7.876,aditi
s_001_021_001_002,14.136,3.952,5.648,aditi
s_001_021_001_003,15.74,3.762,5.429,aditi
s_001_021_001_004,14.363,4.181,5.39,aditi
s_001_021_001_005,17.004,4.048,6.095,aditi
