Subject,Condition,Highest_nBack,RPM,BEAST,Grip_Strength,nodule_number,Order,Used,Total_Cores_Used,Cores_Used,end_mass,maxlength,maxwidth,maxthickness,edge_angle_goniometer,edge_angle_calliper,edge_angle_degree,start_mass,Proportion_Mass_Removed
1,1,4,9,0.165,12.5,8, ,0,8, , ,138,126,83,92,3.58,100.074737,1323.3, 
1,1,4,9,0.165,12.5,10,4,1,8, , ,115,105,70,64,2.07,69.2113511,634.7, 
1,1,4,9,0.165,12.5,11,6,1,8, , ,145,76,56,76,2.49,79.3853463,600.8, 
1,1,4,9,0.165,12.5,20,2,1,8, , ,142,138,64,46,1.75,60.51287433,933.5, 
1,1,4,9,0.165,12.5,21,8,1,8,8,100,162,69,51,60,1.94,65.77880446,877.5,0.886039886
1,1,4,9,0.165,12.5,187,7,1,8, , ,135.76,93.32,69.22,85,2.8,86.05013198,801.4, 
1,1,4,9,0.165,12.5,233,3,1,8, , ,134.46,103.95,71.5,68,1.7,59.07756452,785, 
1,1,4,9,0.165,12.5,234,5,1,8, , ,159.56,110.02,62.16,65,1.88,64.14800175,967.3, 
1,1,4,9,0.165,12.5,235,1,1,8, , ,153.8,83.77,61.05,77,2.29,74.71140155,676, 
2,1,4,7,0.5152,44.4,1,5,1,7, , ,151,101.75,61,68,2.62,82.26359192,990.7, 
2,1,4,7,0.5152,44.4,9,6,1,7, , ,137,123,78,68,2.61,82.04653805,1179.9, 
2,1,4,7,0.5152,44.4,18, ,0,7, , ,141,134,64,69,2.14,71.00305808,1090.1, 
2,1,4,7,0.5152,44.4,23, ,0,7, , ,141,128,58,72,2.13,70.74950369,737, 
2,1,4,7,0.5152,44.4,26,7,1,7,7,124.6,120,118,62,54,1.99,67.115286,645.2,0.806881587
2,1,4,7,0.5152,44.4,27,3,1,7, , ,168,116,58,64,1.9,64.694887,1149.1, 
2,1,4,7,0.5152,44.4,28,2,1,7, , ,153,85,58,54,1.82,62.48758465,685.9, 
2,1,4,7,0.5152,44.4,31,1,1,7, , ,116,100,72,96,2.6,81.82876644,679.7, 
2,1,4,7,0.5152,44.4,214,4,1,7, , ,131.79,104.63,68.76,90,3.3,95.45262199,795.4, 
3,1,4,9,0.4724,31.1,13,7,1,7,7,194.3,148,116,96,71,3.08,91.50769667,1337.1,0.854685513
3,1,5,9,0.4724,31.1,15,1,1,7, , ,116,104,96,77,2.35,76.14556375,576.2, 
3,1,5,9,0.4724,31.1,19, ,0,7, , ,152,121,88,62,1.82,62.48758465,1786.7, 
3,1,5,9,0.4724,31.1,24,5,1,7, , ,139,111,74,61,1.72,59.65416931,819.1, 
3,1,5,9,0.4724,31.1,30,3,1,7, , ,127,89,63,63,1.9,64.694887,663.4, 
3,1,5,9,0.4724,31.1,32,2,1,7, , ,121,92,67,66,2.31,75.19254229,673.3, 
3,1,5,9,0.4724,31.1,37,6,1,7, , ,165.11,80.04,66.61,70,1.35,48.45549064,832.9, 
3,1,5,9,0.4724,31.1,38,4,1,7, , ,118.82,108.3,52.72,55,1.86,63.59782565,459, 
3,1,5,9,0.4724,31.1,51, ,0,7, , ,153.69,136.87,75.05,62,1.6,56.14497387,1145.7, 
4,1,6,7,0.293,47.4,14,6,1,8, , ,158,101,96,58,2.21,72.75567298,954.5, 
4,1,6,7,0.293,47.4,25,7,1,8, , ,132,112,68,75,2.77,85.43464253,800.4, 
4,1,6,7,0.293,47.4,29,4,1,8, , ,153,134,90,62,1.87,63.87332533,1535.1, 
4,1,6,7,0.293,47.4,33, ,0,8, , ,111,97,76,76,2.45,78.47473423,616.8, 
4,1,6,7,0.293,47.4,39,2,1,8, , ,132.27,110.61,45.19,103,2.61,82.04653805,827.7, 
4,1,6,7,0.293,47.4,45,5,1,8, , ,153.69,114.42,60.59,78,2.3,74.95235912,843.8, 
