subject_id,core_number,flake_number,flake_mass,max_thickness,flake_count,core_mass,recorder_name,checked,
1,10,1,27,18.88,71,115.4,GU,y,
1,10,2,45.4,24.19,71,115.4,GU,y,
1,10,3,62.8,22,71,115.4,GU,y,
1,10,4,184.7,29.63,71,115.4,GU,y,
1,10,5,26.9,16.1,71,115.4,GU,y,
1,10,6,11.6,10.01,71,115.4,GU,y,
1,10,7,34.3,16.13,71,115.4,GU,y,
1,10,8,9.7,10.13,71,115.4,GU,y,
1,10,9,9.1,12.23,71,115.4,GU,y- rephotograph,
1,10,10,10.4,21.67,71,115.4,GU,y- rephotograph,
1,10,11,5.4,8.14,71,115.4,GU,y,
1,10,12,5.2,7.09,71,115.4,GU,y,
1,11,1,161.3,36.49,118,53.8,GU,y-rephotograph,
1,11,2,83.7,17.15,118,53.8,GU,y,
1,11,3,32,18.03,118,53.8,GU,y-rephotograph,
1,11,4,50.4,17.98,118,53.8,GU,y,
1,11,5,22.8,14.66,118,53.8,GU,y-rephotograph,
1,11,6,20.4,10.24,118,53.8,GU,y,
1,11,7,18.7,18.98,118,53.8,GU,y,
1,11,8,26.9,15.99,118,53.8,GU,y-rephotograph,
1,11,9,17.6,18.29,118,53.8,GU,y,
1,11,10,8.9,7.82,118,53.8,GU,y-rephotograph,
1,11,11,16.2,12.09,118,53.8,GU,y,
1,11,12,7.7,7.66,118,53.8,GU,y-rephotograph,
1,11,13,5.4,11.03,118,53.8,GU,y,
1,11,14,7,12.28,118,53.8,GU,y,
1,11,15,9.5,13.49,118,53.8,GU,y,
1,11,16,6.9,14.38,118,53.8,GU,y-rephotograph,
1,11,17,7.6,12.8,118,53.8,GU,y,
1,11,18,3.9,8.04,118,53.8,GU,y,
1,11,19,4.6,6.97,118,53.8,GU,y,
1,11,20,2.2,5.93,118,53.8,GU,y-rephotograph,
1,20,1,217.6,35.33,118,155.2,GU,y-rephotograph,
1,20,2,148.5,46.93,118,155.2,GU,y-rephotograph,
1,20,3,14.3,13.99,118,155.2,GU,y-rephotograph,
1,20,4,72.1,29.83,118,155.2,GU,y,
1,20,5,49.5,21.58,118,155.2,GU,y,
1,20,6,29.8,12.09,118,155.2,GU,y,
1,20,7,66.2,17.88,118,155.2,GU,y-rephotograph,
